SMILES,Min_PE
ClC1=CC(Cl)=C(Cl)C(OC2=CC(Cl)=C(Cl)C(Cl)=C2Cl)=C1Cl,-3930.95788
FC1(F)C(F)(F)C(F)(F)C1(F)F,-4216.74304
CCCCCCCC,-1226.70975
CCCCCCCCO,-1521.97004
CCCCCCC(C)O,-1522.09067
C=CCCCCCC,-1198.8098
C#CCCCCCC,-1170.82639
CCCCCCCCC=O,-1644.44447
ClC1=CC(Cl)=C(Cl)C(Cl)=C1Cl,-2084.82886
ClC1=CC=CC=C1C1=CC(Cl)=C(Cl)C(Cl)=C1Cl,-2875.89073
ClC1=CC=C(Cl)C(C2=CC=C(Cl)C(Cl)=C2Cl)=C1,-2875.98581
ClC1=C(Cl)C(Cl)=C(C2=CC=CC=C2)C(Cl)=C1Cl,-2875.72591
ClC1=CC=CC=C1C1=C(Cl)C=C(Cl)C(Cl)=C1Cl,-2875.99284
ClC1=CC(Cl)=C(C2=C(Cl)C=CC=C2Cl)C(Cl)=C1,-2876.21395
ClC1=CC=C(C2=CC=CC(Cl)=C2Cl)C(Cl)=C1Cl,-2875.93452
ClC1=CC=C(C2=CC(Cl)=C(Cl)C=C2Cl)C=C1Cl,-2875.92476
ClC1=C(Cl)C=C2C(=C1)OC1=C(Cl)C(Cl)=C(Cl)C=C21,-3143.47242
ClC1=CC=C2OC3=C(Cl)C(Cl)=C(Cl)C(Cl)=C3OC2=C1,-3438.41507
ClC1=CC=C(OC2=CC=C(Cl)C(Cl)=C2Cl)C(Cl)=C1,-3170.81069
ClC1=CC=C(OC2=CC=C(Cl)C(Cl)=C2Cl)C=C1Cl,-3170.68935
ClC(Cl)C(Cl)(Cl)Cl,-1593.64243
OCC(CO)(CO)CO,-1957.72538
CC1=CC(C)=C(C)C(C)=C1C,-1568.07526
CCCCC,-776.86554
CC(C)C1(C)CCCC(O)C1,-1794.89418
CC(C)C1C(C)CCCC1O,-1794.88834
CC1CCCC(O)(C(C)C)C1,-1794.9869
C=CCCC,-748.9801
CC=CCC,-749.18717
CCCCCC1=CC=CC=C1,-1567.48646
C#CCCC,-721.03425
C1=CC2=CC=CC3=C2C(=C1)C1=CC=CC2=C1C3=CC=C2,-2618.09107
CCOC1=CC=C(NC(C)=O)C=C1,-2180.91342
C1=CC=C2C(=C1)C=CC1=CC=CC=C12,-1854.14459
OCCOC1=CC=CC=C1,-1707.79849
CCCCC1C(=O)N(C2=CC=CC=C2)N(C2=CC=CC=C2)C1=O,-3566.02993
CC(O)C1=CC=CC=C1,-1412.90716
OCC1=CC=CC=C1,-1262.70732
NC(=O)C1=CC=CC=C1C(N)=O,-2054.2697
N#CC1=CC=CC=C1C#N,-1407.40084
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-4434.15076
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-3576.24089
CCC,-476.93076
CCC=O,-744.77554
CCC#N,-621.93012
CCCOC(C)=O,-1340.54963
CCCC1=CC=CC=C1,-1267.60942
CCCOC(=O)C1=CC=CC=C1,-1981.07933
CCCOC(=O)CCC,-1640.43556
CC1CO1,-743.64616
CCCOC=O,-1190.25022
CCCOC(C)C,-1221.77045
CCC(N)=O,-945.31785
C1=CC2=CC=C3C=CC=C4C=CC(=C1)C2=C43,-2099.94908
O=C1C=CC(=O)C=C1,-1380.14292
C=CC1=CC=CC=C1,-1089.76826
C1=CC=C(C2CO2)C=C1,-1384.32661
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,-3303.60053
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,-3303.66632
