SMILES,Min_PE
CC1=CC(OC2=CC=CC=N2)=NN1C,-2228.67215
NC1=NN=C(C2=CC=C(O)C=C2)O1,-2224.92606
COC(=O)C1=CC2=CC3=C(OC(=O)C=C3C)C(C)=C2O1,-3480.13593
CCCCCCCCNC(=O)C1=CN=CC=C1,-2685.11779
CC12CC(C)(NC(=O)N1)NC(=O)N2,-2359.16117
CCC1(CC)NC(=O)C(CC)(CC)NC1=O,-2735.75999
CC1=C(CC(=O)O)C(=O)NC(=O)N1,-2523.24017
O=C1C=NC2=C(N1)NC(=O)NC2=O,-2422.3254
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,-2649.0126
O=C(O)CC1=CNC(=O)NC1=O,-2373.11627
CCCCCCCCNC(=O)C(C)O,-2440.08119
CCN(CC)S(=O)N(CC)CC,-2097.3952
CC(C)C(NCCC#N)C(=O)O,-2134.9873
CCC(C)C(NCCC#N)C(=O)O,-2284.93883
CC(C(=O)O)N(CCC#N)CCC#N,-2429.74487
CCOP(=O)(OCC)SCCSCC,-2657.3172
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-2758.86706
CCOP(=S)(OCC)SCSC(C)(C)C,-2688.84365
C(CCO[N+](=O)O)CO[N+](=O)O,-2763.35905
CCCCOP(=O)(OCCCC)OCCCC,-3199.21284
CC(CCO[N+](=O)O)O[N+](=O)O,-2763.31181
NCC(=O)NCC(=O)NCC(=O)O,-2626.52436
CC(CC(C)O[N+](=O)O)O[N+](=O)O,-2913.4111
C(CCO[N+](=O)O)CCO[N+](=O)O,-2913.28189
CC(C)CC(C(=O)O)N(CCC#N)CCC#N,-2879.6198
CC(CCC(C)O[N+](=O)O)O[N+](=O)O,-3063.43148
CSCCC(C(=O)O)N(CCC#N)CCC#N,-2906.0677
CC(O)C(O)C(O)C(O)C=NNC(N)=O,-3097.83587
CCC1=NC2=C(N=C1CC)C(=O)NC=N2,-2430.27675
NC(CSCCSCC(N)C(=O)O)C(=O)O,-3106.84662
